CustomerID,Age,TotalSpent,AverageSpent,TransactionCount,ServiceInteractionCount,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus,Gender_M,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,IncomeLevel_Low,IncomeLevel_Medium
1,1.2296280895906782,-1.1521961328580568,2.1137904997984616,-1.5579540466010575,-1.0,2023-10-21,0.5757024663120962,Mobile App,0,True,False,True,False,True,False
2,1.4265471238495815,0.3797578126135717,-0.34974710603455245,0.7478486864049475,-1.0,2023-12-05,-1.4885126082490794,Website,1,True,True,False,False,True,False
3,-1.6585177462065699,0.5904807247183774,0.4414740130717631,0.36354823090394667,-1.0,2023-11-15,-1.6308722685636434,Website,0,True,False,True,False,True,False
4,-1.4615987119476666,-0.47382169757285814,-0.8237234724617574,-0.02075222459705415,1.0,2023-08-25,-1.7020520987209253,Website,0,True,False,False,True,True,False
5,-1.4615987119476666,0.9948449346207011,0.01739172016220301,1.1321491419059484,,2023-10-27,1.0739612774130698,Website,0,True,False,False,False,False,True
6,0.9014296991591727,-0.139233376089913,-0.20103232567424764,-0.02075222459705415,-1.0,2023-09-17,-1.7020520987209253,Website,0,False,False,False,False,False,True
7,-1.06776064342986,-1.5989054072525135,-2.042988032106742,-1.5579540466010575,,2023-01-07,0.4333428059975324,Mobile App,0,False,True,False,False,False,False
8,-0.41136386256684915,1.056330618475401,0.5496436405660541,0.7478486864049475,1.0,2023-04-22,-0.6343546463616965,Online Banking,1,True,False,True,False,True,False
9,-0.280084506394247,0.06795400759760309,0.1845571921441715,-0.02075222459705415,-1.0,2023-06-27,-0.13609583526072297,Website,0,True,False,False,False,False,False
10,1.6234661581084848,0.17648524774826516,-0.619964091248357,0.7478486864049475,,2023-01-13,0.21980331552568663,Online Banking,1,True,True,False,False,False,False
11,0.7045106649002695,0.6322703996890204,1.2347875761126272,-0.02075222459705415,1.0,2023-01-22,0.29098314568296857,Online Banking,0,True,False,False,False,False,True
